SmallSeatsPercentage,PoissonParam,CenterName,Priority,AvgQueueTime,ConfInterval
0.0,1.5,Harry_Potter_Journey,NORMAL,43.270731737326486,1.0417875704149129
0.0,1.5,Doctor_Doom_Fearfall,NORMAL,9.2038341326314,1.0720512021214899
0.0,1.5,Storm_Force,NORMAL,6.1043763589669,0.5489776501273974
0.0,1.5,Doctor_Doom_Fearfall,SMALL,8.36412435596031,1.5284565830063217
0.0,1.5,Jurassic_World_VelociCoaster,PRIORITY,1.7293591399105883,0.07175503483079841
0.0,1.5,Jurassic_World_VelociCoaster,SMALL,276.4880817314249,4.194992599702158
0.0,1.5,Flight_Hippogriff,NORMAL,30.1237590737873,3.324801587254069
0.0,1.5,Harry_Potter_Journey,SMALL,340.18943847029067,4.47341072303992
0.0,1.5,Flight_Hippogriff,PRIORITY,1.7542494926155578,0.0817325089155793
0.0,1.5,Incredible_Hulk_Coaster,SMALL,19.447042899811976,3.7687663830332867
0.0,1.5,Skull_Island,NORMAL,43.28747936636325,2.3842905692769465
0.017,2.0,Skull_Island,SMALL,17.526246840974302,2.818573980555866
0.017,2.0,Storm_Force,PRIORITY,2.0846006154966545,0.033278099304306454
0.017,2.0,Flight_Hippogriff,SMALL,2.3932960611527805,0.1090951291904214
0.017,2.0,Incredible_Hulk_Coaster,PRIORITY,2.0945657104741517,0.1014170983540786
0.017,2.0,Jurassic_World_VelociCoaster,NORMAL,65.2118698588659,1.3413771935456968
0.017,2.0,Storm_Force,SMALL,15.499349048156683,2.20611405617805
0.017,2.0,Incredible_Hulk_Coaster,NORMAL,36.488274750051914,3.040202006543521
0.017,2.0,Doctor_Doom_Fearfall,PRIORITY,1.2877565327522347,0.03309413034872555
0.017,2.0,Harry_Potter_Journey,PRIORITY,2.195317913937884,0.04473322005136008
0.017,2.0,Skull_Island,PRIORITY,3.3851038074596045,0.08510376741831086
0.017,2.0,Harry_Potter_Journey,NORMAL,48.15500481395384,1.1345930788127228
0.017,2.0,Doctor_Doom_Fearfall,NORMAL,9.688893987384143,1.1055130489135419
0.017,2.0,Storm_Force,NORMAL,6.355291990488153,0.5463005190089332
0.017,2.0,Doctor_Doom_Fearfall,SMALL,4.262439951244722,0.43689623249708487
0.017,2.0,Jurassic_World_VelociCoaster,PRIORITY,1.7740622970415718,0.073559893352748
0.017,2.0,Jurassic_World_VelociCoaster,SMALL,111.66916777507679,3.3292326491690796
0.017,2.0,Flight_Hippogriff,NORMAL,34.80503944688678,3.343712426827821
0.017,2.0,Harry_Potter_Journey,SMALL,111.61644590301044,2.8065153827032243
0.017,2.0,Flight_Hippogriff,PRIORITY,1.8976945395861102,0.10756105230352117
0.017,2.0,Incredible_Hulk_Coaster,SMALL,9.39850191360888,1.2795174199433603
0.017,2.0,Skull_Island,NORMAL,47.88031307161477,2.586448704407723
0.0,2.0,Skull_Island,SMALL,44.77087798161371,7.627711758743619
0.0,2.0,Storm_Force,PRIORITY,2.11067607014739,0.04167072495793303
0.0,2.0,Flight_Hippogriff,SMALL,2.1495753880747106,0.10202669552885851
0.0,2.0,Incredible_Hulk_Coaster,PRIORITY,2.0992414023635004,0.08724207598430635
0.0,2.0,Jurassic_World_VelociCoaster,NORMAL,62.97688942245774,1.1876744494738845
0.0,2.0,Storm_Force,SMALL,10.124376107062904,1.725865242822853
0.0,2.0,Incredible_Hulk_Coaster,NORMAL,41.59307924700728,2.8745125634097453
0.0,2.0,Doctor_Doom_Fearfall,PRIORITY,1.3166954152999684,0.04644335494107508
0.0,2.0,Harry_Potter_Journey,PRIORITY,2.194554706395393,0.03755483673727408
0.0,2.0,Skull_Island,PRIORITY,3.4956203787302402,0.12477085214239689
0.0,2.0,Harry_Potter_Journey,NORMAL,45.506594991183185,1.2288769867667493
0.0,2.0,Doctor_Doom_Fearfall,NORMAL,11.452991502441565,1.3286966766995625
0.0,2.0,Storm_Force,NORMAL,7.067973968029775,0.7362473233270779
0.0,2.0,Doctor_Doom_Fearfall,SMALL,2.7339570305879497,0.15068074056747188
0.0,2.0,Jurassic_World_VelociCoaster,PRIORITY,1.78417593791445,0.09975217676348488
0.0,2.0,Jurassic_World_VelociCoaster,SMALL,159.68360190367724,4.84842836832036
0.0,2.0,Flight_Hippogriff,NORMAL,38.02011711999069,3.4109434954163813
0.0,2.0,Harry_Potter_Journey,SMALL,270.1224036450565,4.788308557873069
0.0,2.0,Flight_Hippogriff,PRIORITY,1.8665369887531653,0.09689673629469515
0.0,2.0,Incredible_Hulk_Coaster,SMALL,4.728202586193382,0.4455650978406239
0.0,2.0,Skull_Island,NORMAL,45.258392803314905,2.443187944003032
0.017,2.5,Skull_Island,SMALL,7.5365759156845025,0.6800953323090928
0.017,2.5,Storm_Force,PRIORITY,2.1351008833035645,0.05555731962818096
0.017,2.5,Flight_Hippogriff,SMALL,2.1083892304732186,0.09137663574466355
0.017,2.5,Incredible_Hulk_Coaster,PRIORITY,2.1975934380826243,0.09486922075543638
0.017,2.5,Jurassic_World_VelociCoaster,NORMAL,65.851307514543,1.4497286214179057
0.017,2.5,Storm_Force,SMALL,8.658512983524458,1.1347563795457443
0.017,2.5,Incredible_Hulk_Coaster,NORMAL,39.97464269889404,3.2617524221643546
0.017,2.5,Doctor_Doom_Fearfall,PRIORITY,1.3699939481576586,0.04509132088686649
0.017,2.5,Harry_Potter_Journey,PRIORITY,2.26181990710832,0.047832326878311224
0.017,2.5,Skull_Island,PRIORITY,3.4605549181217468,0.13228226678822935
0.017,2.5,Harry_Potter_Journey,NORMAL,48.908943070865895,1.0643812663242245
0.017,2.5,Doctor_Doom_Fearfall,NORMAL,11.670976413403205,1.4176999504195624
0.017,2.5,Storm_Force,NORMAL,7.148655953295502,0.7017356966082707
0.017,2.5,Doctor_Doom_Fearfall,SMALL,2.6559139281428523,0.13246513093957987
0.017,2.5,Jurassic_World_VelociCoaster,PRIORITY,1.8195815365397237,0.0880347921894528
0.017,2.5,Jurassic_World_VelociCoaster,SMALL,39.41607042036897,2.918497182826881
0.017,2.5,Flight_Hippogriff,NORMAL,41.01968822783525,3.9162667201257486
0.017,2.5,Harry_Potter_Journey,SMALL,47.464323562345726,2.4684329982508952
0.017,2.5,Flight_Hippogriff,PRIORITY,1.9292627748466085,0.09679844237382453
0.017,2.5,Incredible_Hulk_Coaster,SMALL,4.76044155264339,0.2733851768456351
0.017,2.5,Skull_Island,NORMAL,48.056222376266376,2.4001344754054057
0.0,2.5,Skull_Island,SMALL,12.776228059840756,1.353545231832842
0.0,2.5,Storm_Force,PRIORITY,2.1343649813441044,0.05572767428236526
0.0,2.5,Flight_Hippogriff,SMALL,1.8983459362178952,0.07835713707746272
0.0,2.5,Incredible_Hulk_Coaster,PRIORITY,2.19484187425139,0.11896773173218445
0.0,2.5,Jurassic_World_VelociCoaster,NORMAL,64.36648890302475,1.448315271236083
0.0,2.5,Storm_Force,SMALL,5.4626503887677815,0.5945916727365421
0.0,2.5,Incredible_Hulk_Coaster,NORMAL,43.02023127048668,2.9370204441254284
0.0,2.5,Doctor_Doom_Fearfall,PRIORITY,1.3219255995556862,0.04875342223310371
0.0,2.5,Harry_Potter_Journey,PRIORITY,2.2430755209997386,0.048545835235661486
0.0,2.5,Skull_Island,PRIORITY,3.5613953207970934,0.14500347699784802
0.0,2.5,Harry_Potter_Journey,NORMAL,45.68892020815608,1.2258275422960287
0.0,2.5,Doctor_Doom_Fearfall,NORMAL,12.280266518725242,1.223031108635576
0.0,2.5,Storm_Force,NORMAL,7.33415080184431,0.7271473010413578
0.0,2.5,Doctor_Doom_Fearfall,SMALL,2.172873231186189,0.1014269134656816
0.0,2.5,Jurassic_World_VelociCoaster,PRIORITY,1.8013464519869915,0.08427881046149735
0.0,2.5,Jurassic_World_VelociCoaster,SMALL,49.22897766153718,4.509613648719986
0.0,2.5,Flight_Hippogriff,NORMAL,42.11720167616657,3.9802586921655903
0.0,2.5,Harry_Potter_Journey,SMALL,189.9574873700467,6.682491586178184
0.0,2.5,Flight_Hippogriff,PRIORITY,1.9221424143657433,0.1032492726986721
0.0,2.5,Incredible_Hulk_Coaster,SMALL,3.5569271326442724,0.22253562824193374
0.0,2.5,Skull_Island,NORMAL,46.55777769338262,2.917581232807821
0.017,3.0,Skull_Island,SMALL,5.445620798125701,0.2839924920559517
0.017,3.0,Storm_Force,PRIORITY,2.1538095387678933,0.05493256600906186
0.017,3.0,Flight_Hippogriff,SMALL,1.8973553024434135,0.07070426459792344
0.017,3.0,Incredible_Hulk_Coaster,PRIORITY,2.224503283713725,0.11010215908143076
0.017,3.0,Jurassic_World_VelociCoaster,NORMAL,65.92122116325558,1.5915712529354065
0.017,3.0,Storm_Force,SMALL,5.095543965926959,0.40337888587867554
0.017,3.0,Incredible_Hulk_Coaster,NORMAL,42.566913997583875,3.0909133766600236
0.017,3.0,Doctor_Doom_Fearfall,PRIORITY,1.389362682910794,0.048853774527311114
0.017,3.0,Harry_Potter_Journey,PRIORITY,2.2113393162525528,0.04240248058248653
0.017,3.0,Skull_Island,PRIORITY,3.5573957638490517,0.1274221063161658
0.017,3.0,Harry_Potter_Journey,NORMAL,48.26544631448581,1.3262343194838853
0.017,3.0,Doctor_Doom_Fearfall,NORMAL,12.710964393224257,1.4924489630839548
0.017,3.0,Storm_Force,NORMAL,7.582823110348688,0.9147275392329647
0.017,3.0,Doctor_Doom_Fearfall,SMALL,2.2230420839476404,0.09225112825865656
0.017,3.0,Jurassic_World_VelociCoaster,PRIORITY,1.8052365500569556,0.091160124553628
0.017,3.0,Jurassic_World_VelociCoaster,SMALL,7.478336329124163,0.9641211870070826
0.017,3.0,Flight_Hippogriff,NORMAL,46.717922072999016,4.403468743668804
0.017,3.0,Harry_Potter_Journey,SMALL,10.117100683259311,1.2059743014666529
0.017,3.0,Flight_Hippogriff,PRIORITY,2.103960442471982,0.13092805660929768
0.017,3.0,Incredible_Hulk_Coaster,SMALL,3.5100959541056773,0.15674321778620948
0.017,3.0,Skull_Island,NORMAL,48.548965934404976,3.002861075897328
0.0,3.0,Skull_Island,SMALL,7.935661286145364,0.8170294504705384
0.0,3.0,Storm_Force,PRIORITY,2.1870345441357117,0.052198538606058595
0.0,3.0,Flight_Hippogriff,SMALL,1.7851812336636959,0.08017917363986773
0.0,3.0,Incredible_Hulk_Coaster,PRIORITY,2.20537350142364,0.11704346699291655
0.0,3.0,Jurassic_World_VelociCoaster,NORMAL,64.4963686871342,1.5711400123561536
0.0,3.0,Storm_Force,SMALL,3.832132701429467,0.2125733137662966
0.0,3.0,Incredible_Hulk_Coaster,NORMAL,44.32090901774133,3.0832078286378386
0.0,3.0,Doctor_Doom_Fearfall,PRIORITY,1.3810476882701663,0.049969385113412826
0.0,3.0,Harry_Potter_Journey,PRIORITY,2.236937435073645,0.06225748732191935
0.0,3.0,Skull_Island,PRIORITY,3.578416578259907,0.13131316856150838
0.0,3.0,Harry_Potter_Journey,NORMAL,45.926329199971256,1.222041310342812
0.0,3.0,Doctor_Doom_Fearfall,NORMAL,13.8402859456299,1.739997903958815
0.0,3.0,Storm_Force,NORMAL,8.323583834769599,0.86065248131496
0.0,3.0,Doctor_Doom_Fearfall,SMALL,1.87096711562672,0.09444186262893454
0.0,3.0,Jurassic_World_VelociCoaster,PRIORITY,1.845037723797792,0.10576488048795306
0.0,3.0,Jurassic_World_VelociCoaster,SMALL,8.953538803134013,1.022219148754982
0.0,3.0,Flight_Hippogriff,NORMAL,47.51613115209908,4.145356440022617
0.0,3.0,Harry_Potter_Journey,SMALL,102.27343139015741,5.51184115975791
0.0,3.0,Flight_Hippogriff,PRIORITY,1.9615832857810926,0.11899044662037062
0.0,3.0,Incredible_Hulk_Coaster,SMALL,2.930129992529088,0.14664908492342416
0.0,3.0,Skull_Island,NORMAL,47.44832834741683,2.808275974167676
