Center name,E[Nq],m*Rho,Rho,E[Ns],E[Tq],E[S],E[Ts],NormalEnqueued,PriorityEnqueued,TotalEnqueued,TotalServed,E[Tq] Normal,E[Tq] Priority
Restaurant_1,0.0,2.426892190420013E-306,2.426892190420013E-308,2.426892190420013E-306,NaN,11.186685717356474,NaN,0,0,0,39,0.0,0.0
Skull_Island,2.5677742138541107E-308,1.7350715914035231E-307,2.6288963506114E-309,1.9918490127889344E-307,0.02308035038061007,2.079417525573831,2.102497875954441,200,0,200,15,0.02308035038061007,0.0
Entrance,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0,0,0,0,0.0,0.0
Storm_Force,7.70332264156233E-310,5.507167614900344E-308,9.1786126915006E-310,5.584200841315967E-308,0.02308035038061007,0.7615536472186477,0.7846339975992578,6,0,6,13,0.02308035038061007,0.0
Harry_Potter_Journey,4.044244386820224E-308,4.039381089793646E-307,2.148606962656193E-309,4.443805528475668E-307,0.02308035038061007,1.5786016639597165,1.6016820143403265,315,0,315,46,0.02308035038061007,0.0
Jurassic_World_VelociCoaster,1.0155547015793008E-307,4.077571165814503E-308,4.2474699643901E-310,1.423311818160751E-307,0.02308035038061007,0.3490581757951077,0.37213852617571774,791,0,791,21,0.02308035038061007,0.0
Incredible_Hulk_Coaster,2.8245516352395217E-308,2.774790998784199E-308,8.6712218712006E-310,5.599342634023721E-308,0.02308035038061007,0.8313704548653504,0.8544508052459605,220,0,220,6,0.02308035038061007,0.0
Restaurant_4,0.0,3.868864656788409E-306,3.868864656788409E-308,3.868864656788409E-306,NaN,15.455625407155493,NaN,0,0,0,45,0.0,0.0
Doctor_Doom_Fearfall,1.206853880511432E-308,7.424600350385037E-308,2.320187609495324E-309,8.631454230896469E-308,0.02308035038061007,1.9067361541405035,1.9298165045211135,94,0,94,7,0.02308035038061007,0.0
Restaurant_3,0.0,2.1426115729065014E-306,2.1426115729065013E-308,2.1426115729065014E-306,NaN,12.839193717635219,NaN,0,0,0,30,0.0,0.0
Flight_Hippogriff,1.9643472735983943E-308,2.416819390040601E-308,1.726299564314715E-309,4.3811666636389955E-308,0.02308035038061007,1.4482332085593725,1.4713135589399826,153,0,153,3,0.02308035038061007,0.0
Restaurant_2,0.0,2.278146053680403E-306,2.278146053680403E-308,2.278146053680403E-306,NaN,11.068668975445775,NaN,0,0,0,37,0.0,0.0
Restaurant_1,0.0,3.8283690043475136E-306,3.8283690043475136E-308,3.8283690043475136E-306,NaN,13.764465353670408,NaN,0,0,0,50,0.0,0.0
Skull_Island,1.1710356330536081E-307,1.330722310288191E-308,2.0162459246791E-310,1.3041078640824272E-307,0.11961151808066006,0.11961151808066006,0.23922303616132012,175,1,176,20,0.11961151808066006,0.11961151808066006
Entrance,0.0,0.0,0.0,0.0,NaN,NaN,NaN,0,0,0,0,0.0,0.0
Storm_Force,0.0,2.2913470887093352E-307,3.818911814515557E-309,2.2913470887093352E-307,NaN,3.4326157757996043,NaN,0,0,0,12,0.0,0.0
Harry_Potter_Journey,1.8363967881977037E-307,1.1741009073985496E-306,6.245217592545476E-309,1.3577405862183199E-306,0.11961151808066006,4.908542188060437,5.028153706141097,276,0,276,43,0.11961151808066006,0.0
Jurassic_World_VelociCoaster,6.460656816449167E-307,2.2524159808772758E-307,2.34626664674716E-309,8.713072797326443E-307,0.11961151808066006,2.0245763728386237,2.1441878909192837,968,3,971,20,0.11961151808066006,0.11961151808066006
Incredible_Hulk_Coaster,7.318972706585051E-308,2.0033838111308676E-308,6.26057440978396E-310,9.32235651771592E-308,0.11961151808066006,0.514495617680609,0.6341071357612691,109,1,110,7,0.11961151808066006,0.11961151808066006
Restaurant_4,0.0,2.8699772880336704E-306,2.8699772880336703E-308,2.8699772880336704E-306,NaN,14.740967051168273,NaN,0,0,0,35,0.0,0.0
Doctor_Doom_Fearfall,3.3268057757204776E-308,6.334464932056162E-308,1.97952029126755E-309,9.66127070777664E-308,0.11961151808066006,1.4234280151729308,1.543039533253591,50,0,50,8,0.11961151808066006,0.0
Restaurant_3,0.0,1.8692548666613258E-306,1.869254866661326E-308,1.8692548666613258E-306,NaN,10.501083253453245,NaN,0,0,0,32,0.0,0.0
Flight_Hippogriff,4.52445585497985E-308,1.4463709682871546E-308,1.033122120205113E-309,5.970826823267004E-308,0.11961151808066006,0.6500327900384946,0.7696443081191546,68,0,68,4,0.11961151808066006,0.0
