Center name,E[Nq],m*Rho,Rho,E[Ns],E[Tq],E[S],E[Ts],NormalEnqueued,PriorityEnqueued,TotalEnqueued,TotalServed,E[Tq] Normal,E[Tq] Priority
Restaurant_1,0.0,8.553756592456535,0.08553756592456535,8.553756592456535,NaN,16.379533900448685,NaN,0,0,0,94,0.0,0.0
Skull_Island,71.6720052941104,15.18129652021158,0.23001964424563,86.85330181432198,20.774494288147945,5.979504099864517,26.753998388012462,501,120,621,457,24.968670411123405,3.263808974725402
Entrance,0.0,4.62985078803615,0.154328359601205,4.62985078803615,NaN,0.40008312138574514,NaN,0,0,0,2083,0.0,0.0
Storm_Force,37.61264126829457,12.85250232380409,0.21420837206340151,50.465143592098656,10.32054181142229,3.901265460851157,14.221807272273447,515,141,656,593,12.544421082881135,2.197862202902413
Harry_Potter_Journey,172.53179839658372,42.94131479257443,0.2284112488966725,215.47311318915817,16.97034082589348,4.954767091450896,21.925107917344377,1503,327,1830,1560,20.0743756412062,2.703171628905667
Jurassic_World_VelociCoaster,232.37371772035698,22.532428527888236,0.23471279716550245,254.9061462482452,22.475695427009274,2.9800419801762543,25.455737407185527,1436,425,1861,1361,28.042024362324582,3.6680522479203774
Incredible_Hulk_Coaster,56.540111807149856,7.00375907917764,0.21886747122430125,63.5438708863275,18.57156957169156,2.925003791767924,21.496573363459483,435,113,548,431,22.277448586381656,4.305575134610232
Restaurant_4,0.0,10.239152837160084,0.10239152837160084,10.239152837160084,NaN,18.43047510688815,NaN,0,0,0,100,0.0,0.0
Doctor_Doom_Fearfall,90.36254606168983,6.951355767321503,0.21722986772879696,97.31390182901133,20.055805537736337,1.9861016478061437,22.04190718554248,629,182,811,630,24.977358182652853,3.0467032649204664
Restaurant_3,0.0,10.206138825877776,0.10206138825877777,10.206138825877776,NaN,19.13651029852083,NaN,0,0,0,96,0.0,0.0
Flight_Hippogriff,40.727944743926095,2.8319509533140996,0.20228221095100712,43.559895697240194,21.005816773371624,1.983467593760848,22.989284367132473,267,82,349,257,25.55773434619005,6.184329066755542
Restaurant_2,0.0,8.275771120773388,0.08275771120773388,8.275771120773388,NaN,16.191726105860976,NaN,0,0,0,92,0.0,0.0
Restaurant_1,0.0,6.131538794606518,0.061315387946065183,6.131538794606518,NaN,14.914553824718558,NaN,0,0,0,74,0.0,0.0
Skull_Island,79.81808448010214,14.952605991870895,0.2265546362404681,94.77069047197304,23.59155206308438,5.981042396748358,29.572594459832736,479,130,609,450,28.914511917066793,3.978492293410781
Entrance,0.0,4.444000020475783,0.14813333401585943,4.444000020475783,NaN,0.3965889953820729,NaN,0,0,0,2017,0.0,0.0
Storm_Force,66.47938316781098,13.094921829378452,0.21824869715630751,79.57430499718943,16.459819766445634,3.883172865384055,20.342992631829688,584,143,727,607,19.927934512773795,2.296330173049469
Harry_Potter_Journey,199.43645575195592,43.42461410842014,0.230981989938405,242.86106986037606,18.9039294551617,4.867017770557674,23.77094722571937,1559,340,1899,1606,22.443081599113906,2.675875948039677
Jurassic_World_VelociCoaster,208.3359879031604,22.564793723396345,0.23504993461871193,230.90078162655675,20.845179445563573,2.993119285343657,23.83829873090723,1416,383,1799,1357,25.674977648314908,2.988797578472481
Incredible_Hulk_Coaster,47.88242495010458,7.033713771424032,0.219803555357001,54.91613872152862,16.542872343606188,3.0507674189309055,19.593639762537094,412,109,521,415,20.143749619420817,2.932216952453578
Restaurant_4,0.0,11.113432113351166,0.11113432113351167,11.113432113351166,NaN,17.70281221595761,NaN,0,0,0,113,0.0,0.0
Doctor_Doom_Fearfall,38.23029951596717,7.375599025381982,0.23048746954318694,45.605898541349156,8.856440042308996,1.9668264067685286,10.823266449077526,598,179,777,675,11.006784203440315,1.6726087107082526
Restaurant_3,0.0,10.804517908748558,0.10804517908748558,10.804517908748558,NaN,20.049620861595262,NaN,0,0,0,97,0.0,0.0
Flight_Hippogriff,33.929580332507435,3.087701728070556,0.22055012343361113,37.01728206057799,17.910042404256124,1.9849511109025002,19.894993515158625,268,73,341,280,22.15259691260918,2.3346368119462784
Restaurant_2,0.0,8.204631411981936,0.08204631411981936,8.204631411981936,NaN,16.228941254469763,NaN,0,0,0,91,0.0,0.0
Restaurant_1,0.0,9.730420506553449,0.09730420506553449,9.730420506553449,NaN,19.0377792519524,NaN,0,0,0,92,0.0,0.0
Skull_Island,67.67744679907713,15.396311051854111,0.23327744017960775,83.07375785093124,19.336413371164898,5.947072938484421,25.28348630964932,474,156,630,466,24.72768294192116,2.9552481369439283
Entrance,0.0,4.444000020475783,0.14813333401585943,4.444000020475783,NaN,0.3965889953820729,NaN,0,0,0,2017,0.0,0.0
Storm_Force,13.550602688736165,13.276715750990034,0.2212785958498339,26.827318439726202,3.764056302426712,3.8670045876670005,7.631060890093712,500,148,648,618,4.327933771058027,1.8590648543479553
Harry_Potter_Journey,168.4483884302003,43.236125068919826,0.22997938866446715,211.68451349912013,16.33658939517029,4.851934234666814,21.188523629837103,1455,401,1856,1604,20.145815969409224,2.5150815011113705
Jurassic_World_VelociCoaster,230.91992197104454,22.725132336357987,0.23672012850372903,253.64505430740255,23.43043176707329,2.947063271285618,26.37749503835891,1362,412,1774,1388,30.03068279179128,1.611155321282287
Incredible_Hulk_Coaster,79.94120930062178,7.328434160454627,0.2290135675142071,87.2696434610764,23.823539195549536,3.025500341472094,26.84903953702163,445,159,604,436,31.66847110102048,1.8675976991057013
Restaurant_4,0.0,10.009349691683296,0.10009349691683296,10.009349691683296,NaN,16.682249486138826,NaN,0,0,0,108,0.0,0.0
Doctor_Doom_Fearfall,46.37958039808095,7.371873615426864,0.2303710504820895,53.75145401350781,11.235968333317054,1.9894111705799633,13.225379503897017,536,207,743,667,15.18464977859986,1.0113632382852824
Restaurant_3,0.0,9.50205571999709,0.09502055719997089,9.50205571999709,NaN,15.691468161463083,NaN,0,0,0,109,0.0,0.0
Flight_Hippogriff,54.44986086317828,2.880982868645681,0.20578449061754864,57.330843731823954,27.300765892401365,1.9868847369970213,29.287650629398385,265,94,359,261,36.54009489213351,1.2537213718798965
Restaurant_2,0.0,7.188737027287231,0.07188737027287231,7.188737027287231,NaN,16.379400821667108,NaN,0,0,0,79,0.0,0.0
Restaurant_1,0.0,9.730420506553449,0.09730420506553449,9.730420506553449,NaN,19.0377792519524,NaN,0,0,0,92,0.0,0.0
Skull_Island,67.67744679907713,15.396311051854111,0.23327744017960775,83.07375785093124,19.336413371164898,5.947072938484421,25.28348630964932,474,156,630,466,24.72768294192116,2.9552481369439283
Entrance,0.0,4.444000020475783,0.14813333401585943,4.444000020475783,NaN,0.3965889953820729,NaN,0,0,0,2017,0.0,0.0
Storm_Force,13.550602688736165,13.276715750990034,0.2212785958498339,26.827318439726202,3.764056302426712,3.8670045876670005,7.631060890093712,500,148,648,618,4.327933771058027,1.8590648543479553
Harry_Potter_Journey,168.4483884302003,43.236125068919826,0.22997938866446715,211.68451349912013,16.33658939517029,4.851934234666814,21.188523629837103,1455,401,1856,1604,20.145815969409224,2.5150815011113705
Jurassic_World_VelociCoaster,230.91992197104454,22.725132336357987,0.23672012850372903,253.64505430740255,23.43043176707329,2.947063271285618,26.37749503835891,1362,412,1774,1388,30.03068279179128,1.611155321282287
Incredible_Hulk_Coaster,79.94120930062178,7.328434160454627,0.2290135675142071,87.2696434610764,23.823539195549536,3.025500341472094,26.84903953702163,445,159,604,436,31.66847110102048,1.8675976991057013
Restaurant_4,0.0,10.009349691683296,0.10009349691683296,10.009349691683296,NaN,16.682249486138826,NaN,0,0,0,108,0.0,0.0
Doctor_Doom_Fearfall,46.37958039808095,7.371873615426864,0.2303710504820895,53.75145401350781,11.235968333317054,1.9894111705799633,13.225379503897017,536,207,743,667,15.18464977859986,1.0113632382852824
Restaurant_3,0.0,9.50205571999709,0.09502055719997089,9.50205571999709,NaN,15.691468161463083,NaN,0,0,0,109,0.0,0.0
Flight_Hippogriff,54.44986086317828,2.880982868645681,0.20578449061754864,57.330843731823954,27.300765892401365,1.9868847369970213,29.287650629398385,265,94,359,261,36.54009489213351,1.2537213718798965
Restaurant_2,0.0,7.188737027287231,0.07188737027287231,7.188737027287231,NaN,16.379400821667108,NaN,0,0,0,79,0.0,0.0
