Name,Popularity,AvgDuration,TotalSeats
Doctor_Doom_Fearfall,4.5,2,32
Flight_Hippogriff,-1.4,2,14
Harry_Potter_Journey,11.6,5,188
Jurassic_World_VelociCoaster,11.3,3,96
Skull_Island,2.7,6,66
Storm_Force,3.5,4,60
Incredible_Hulk_Coaster,2,3,32
