Name,Popularity,AvgDuration,TotalSeats
Doctor_Doom_Fearfall,4.2,2,32
Flight_Hippogriff,-1.5,2,14
Harry_Potter_Journey,12.2,5,188
Jurassic_World_VelociCoaster,11.3,3,96
Skull_Island,2.6,6,66
Storm_Force,3.6,4,60
Incredible_Hulk_Coaster,2.05,3,32
