GroupId,GroupSize,Priority,QueueTime,RidingTime,TotalTime,NumberRides
10569,2,PRIORITY,0.0,0.0,2615.3461724786675,0
10572,3,PRIORITY,0.0,0.0,2615.35764098832,0
10574,8,NORMAL,0.0,0.0,2616.0549749816323,0
10571,9,NORMAL,0.0,0.0,2616.2972482873392,0
10570,4,NORMAL,0.0,0.0,2616.3906483671217,0
10550,8,NORMAL,0.0,0.0,2616.4806071459093,0
10559,6,NORMAL,0.0,0.0,2616.504790692731,0
10576,4,PRIORITY,0.0,0.0,2616.97268889306,0
10578,9,NORMAL,0.0,0.0,2617.0485737536324,0
10575,3,NORMAL,0.0,0.0,2617.264608050768,0
10582,1,PRIORITY,0.0,0.0,2617.4058509556553,0
10583,1,NORMAL,0.0,0.0,2617.480559948541,0
10566,6,NORMAL,0.0,0.0,2617.5850908011107,0
10579,2,PRIORITY,0.0,0.0,2617.7424701493464,0
10556,7,PRIORITY,0.0,0.0,2617.9522723726564,0
10585,1,NORMAL,0.0,0.0,2618.0534683664478,0
10573,6,PRIORITY,0.0,0.0,2618.1266832323813,0
10577,3,NORMAL,0.0,0.0,2618.299430987075,0
10584,2,NORMAL,0.0,0.0,2618.3412977434677,0
10590,1,NORMAL,0.0,0.0,2618.4517802588125,0
10589,2,NORMAL,0.0,0.0,2618.8236812291652,0
10593,9,PRIORITY,0.0,0.0,2618.8416702919717,0
10588,2,NORMAL,0.0,0.0,2618.960320958196,0
10595,4,NORMAL,0.0,0.0,2619.471655263517,0
10581,4,NORMAL,0.0,0.0,2619.4872131216184,0
10554,6,NORMAL,0.0,0.0,2619.5154955503344,0
10597,9,NORMAL,0.0,0.0,2619.7352775016457,0
10599,5,NORMAL,0.0,0.0,2620.0143199477698,0
10600,5,NORMAL,0.0,0.0,2620.1601013418976,0
10594,4,PRIORITY,0.0,0.0,2620.5837913402543,0
10591,6,NORMAL,0.0,0.0,2621.013513904584,0
10587,8,NORMAL,0.0,0.0,2621.259016725673,0
10565,7,PRIORITY,0.0,0.0,2621.2599578103777,0
10601,6,PRIORITY,0.0,0.0,2621.2665744857077,0
10580,9,PRIORITY,0.0,0.0,2622.1201211665452,0
10607,2,NORMAL,0.0,0.0,2622.4177748137113,0
10602,9,NORMAL,0.0,0.0,2622.4678323769813,0
10605,1,NORMAL,0.0,0.0,2623.2588364992357,0
10586,9,NORMAL,0.0,0.0,2623.457000694828,0
10611,1,PRIORITY,0.0,0.0,2623.779962632415,0
10610,9,NORMAL,0.0,0.0,2624.3176481083883,0
10604,7,PRIORITY,0.0,0.0,2624.3877708220757,0
10592,6,PRIORITY,0.0,0.0,2624.6717051206115,0
10613,6,NORMAL,0.0,0.0,2625.0423847163893,0
10612,5,NORMAL,0.0,0.0,2625.064012215592,0
10615,6,NORMAL,0.0,0.0,2625.0662428750184,0
10617,5,NORMAL,0.0,0.0,2625.552536537663,0
10608,2,PRIORITY,0.0,0.0,2625.6240728837965,0
10620,1,NORMAL,0.0,0.0,2625.657961979749,0
10609,5,PRIORITY,0.0,0.0,2625.6591574577765,0
10603,9,NORMAL,0.0,0.0,2625.947749291337,0
10621,2,NORMAL,0.0,0.0,2626.0269096227944,0
10618,9,PRIORITY,0.0,0.0,2626.178138679215,0
10623,7,PRIORITY,0.0,0.0,2627.0042161831,0
10625,9,NORMAL,0.0,0.0,2627.09666464049,0
10596,5,NORMAL,0.0,0.0,2627.1110403075118,0
10619,2,NORMAL,0.0,0.0,2627.623715900832,0
10622,7,NORMAL,0.0,0.0,2627.793270209642,0
10614,8,NORMAL,0.0,0.0,2627.963518472887,0
10616,8,NORMAL,0.0,0.0,2627.980205344069,0
10632,1,PRIORITY,0.0,0.0,2628.320892326232,0
10630,3,NORMAL,0.0,0.0,2628.4231535167924,0
10627,3,NORMAL,0.0,0.0,2628.638948111006,0
10628,3,PRIORITY,0.0,0.0,2628.8168055555197,0
10631,7,NORMAL,0.0,0.0,2628.857842432034,0
10626,8,PRIORITY,0.0,0.0,2629.158316945095,0
10629,7,NORMAL,0.0,0.0,2629.2430358166107,0
10636,9,NORMAL,0.0,0.0,2629.3440124664867,0
