Center name,Served Jobs,Average Service Time,Average Queue Time,Avg Queue Time Normal,Avg Queue Time Prio
Restaurant_1,346,14.727509526174805,160.79412466477962,26.688163347057298,0.0
Skull_Island,12,6.187631353357631,2.0172569035700008,0.872398495793183,0.8406490991885724
Entrance,15,0.6872796062310045,0.0,0.0,0.0
Storm_Force,17,4.160588627988716,1.2901428100296546,0.5239503638815507,0.5091808475437442
Harry_Potter_Journey,12,2.239591792104534,0.4772764085423091,2.6764085862507296,0.2700811386243785
Jurassic_World_VelociCoaster,24,3.3725594300183275,1.5932389349182283,0.3629396081444757,0.3436702695934294
Incredible_Hulk_Coaster,0,NaN,NaN,0.7077061379546259,0.39143467060720527
Restaurant_4,350,15.264581861576605,163.3654698252273,21.098011276437283,0.0
Doctor_Doom_Fearfall,4,2.4777503320843834,0.0,0.30524147998640266,0.21866680626135537
Restaurant_3,292,14.924340136824288,102.6857134794941,14.356312626743868,0.0
Flight_Hippogriff,6,1.694548918024907,0.0,2.7967376142837175,0.2678428036116214
Restaurant_2,182,15.82084980035803,55.992949657752135,19.764140633499206,0.0
