Center name,Served Jobs,Average Service Time,Average Queue Time,Avg Queue Time Normal,Avg Queue Time Prio
Restaurant_1,293,14.875953129042383,255.08762515938423,255.08762515938423,NaN
Skull_Island,3034,5.962428493293624,18.291984305201087,38.02682527102166,3.777697199524911
Entrance,6177,0.48658632840187444,432.2111230013938,432.2111230013938,NaN
Storm_Force,4048,4.01682696233045,9.77267112632109,16.457942935998705,2.552577571869279
Harry_Potter_Journey,1620,1.965299506815357,4.2237878046382225,3.8864527748198383,4.2401104673713705
Jurassic_World_VelociCoaster,6475,3.0073595351899782,5.57120160180864,8.347945468192039,1.7607793618080647
Incredible_Hulk_Coaster,2824,3.0612621079864444,11.477325686544122,56.9755175322938,2.415840937390636
Restaurant_4,305,14.98626352533761,234.63141883015615,234.63141883015615,NaN
Doctor_Doom_Fearfall,4244,2.00404879826172,11.04444471638638,32.01419390875291,1.3136193206135542
Restaurant_3,321,15.115314063523277,260.7707086386687,260.7707086386687,NaN
Flight_Hippogriff,1644,1.9951727288069727,4.194317329442298,4.411234380294938,4.182303462010457
Restaurant_2,337,15.148969568756005,245.31051763661029,245.31051763661029,NaN
