Center name,Served Jobs,Average Service Time,Average Queue Time,Avg Queue Time Normal,Avg Queue Time Prio
Restaurant_1,201,15.214191054508433,469.38842427636814,469.38842427636814,NaN
Skull_Island,1828,6.02541083699986,46.21907482517522,54.9432662645195,3.9829099204132943
Entrance,3469,0.5216597912694971,663.8062186194389,663.8062186194389,NaN
Storm_Force,2576,3.961894369537059,13.898286372947892,15.619270150765281,2.549770156905673
Harry_Potter_Journey,1027,2.0133942912756133,161.07689951719712,287.0039294511874,1.6586382177839463
Jurassic_World_VelociCoaster,4157,2.9848396130689308,7.1214711811890865,7.967467538503278,1.8100853552687686
Incredible_Hulk_Coaster,1780,3.0001257121253087,101.56066192083672,135.05521231386942,2.1934957548396747
Restaurant_4,180,14.989106979190163,456.3811126049111,456.3811126049111,NaN
Doctor_Doom_Fearfall,2559,2.0240695561468542,34.40664533740128,42.084646558497404,1.2442145313904411
Restaurant_3,179,14.545517689948136,471.8575778713193,471.8575778713193,NaN
Flight_Hippogriff,1018,2.007664239322191,161.15585418909777,306.6470831296843,1.539263215444586
Restaurant_2,177,15.576579368870728,477.5219190920556,477.5219190920556,NaN
