Center name,E[Nq],m*Rho,Rho,E[Ns],E[Tq],E[S],E[Ts],NormalEnqueued,PriorityEnqueued,TotalEnqueued,TotalServed,E[Tq] Normal,E[Tq] Priority
Restaurant_1,16.21912316746332,28.200854417133815,0.28200854417133814,44.41997758459714,2.8956944896555012,5.034862729391507,7.930557219047008,4453,0,4453,4453,2.8956944896555012,0.0
Skull_Island,649.6617693813265,56.993940116560424,0.8635445472206125,706.655709497887,62.01153924619895,6.012649043467366,68.02418828966631,6700,1629,8329,7536,76.25066294345966,3.446696538005853
Entrance,0.0,2.1529357784289447,0.07176452594763148,2.1529357784289447,0.0,0.09982078715362887,0.09982078715362887,17147,0,17147,17147,0.0,0.0
Storm_Force,127.17330609235077,49.45797403768854,0.8242995672948089,176.6312801300393,10.258251203592614,3.999601191932231,14.257852395524846,7877,1979,9856,9831,12.267257072974662,2.2618190494125097
Harry_Potter_Journey,1539.7733543945744,165.92763014930551,0.882593777389923,1705.70098454388,44.28909685487194,5.000219361686504,49.28931621655845,21891,5749,27640,26382,55.36450187547965,2.1162509153826483
Jurassic_World_VelociCoaster,2242.2745673097043,84.42727593867431,0.8794507910278574,2326.7018432483787,70.08110872750436,3.022124010794552,73.10323273829891,19901,5536,25437,22210,88.75266611715304,2.9599628439425723
Incredible_Hulk_Coaster,671.3956822166342,26.936840997195688,0.8417762811623652,698.3325232138299,66.52205958559155,3.0022890459070677,69.52434863149861,6305,1719,8024,7133,83.3248521922628,4.892270530872295
Restaurant_4,60.47117386256858,32.09699754662344,0.3209699754662344,92.56817140919202,9.514307069158411,5.050020880207008,14.564327949365419,5053,0,5053,5053,9.514307069158411,0.0
Doctor_Doom_Fearfall,635.3146553361503,26.857294621767153,0.8392904569302235,662.1719499579175,45.672110275954175,1.9972020207443395,47.669312296698514,8781,2278,11059,10691,56.70712004265012,3.135490099765777
Restaurant_3,18.167840155344344,27.829531516540857,0.27829531516540856,45.997371671885205,3.182153904736932,4.874429300629298,8.05658320536623,4539,0,4539,4539,3.182153904736932,0.0
Flight_Hippogriff,472.029284551261,10.74294267399692,0.7673530481426372,482.77222722525795,77.63192582215936,2.0248588094152673,79.65678463157462,3810,1024,4834,4218,96.80056952609154,6.311093290927584
Restaurant_2,27.58101214276196,30.37652919021259,0.3037652919021259,57.95754133297455,4.603707058367126,5.070323058407991,9.674030116775118,4763,0,4763,4763,4.603707058367126,0.0
Restaurant_1,13.942074155513083,27.94943546237325,0.2794943546237325,41.89150961788633,2.4372383016944124,4.88588956419342,7.323127865887832,4547,0,4547,4547,2.4372383016944124,0.0
Skull_Island,623.8097542514726,57.17375889631371,0.8662690741865713,680.9835131477863,60.32202387626507,6.0473251663738194,66.36934904263889,6325,1895,8220,7515,77.10673468609295,4.299176450322368
Entrance,0.0,2.0787108801734084,0.06929036267244695,2.0787108801734084,0.0,0.09887516252654506,0.09887516252654506,16711,0,16711,16711,0.0,0.0
