Center name,Avg Service Time - Services,Groups Served,Normal Group Served,Priority Group Served,Avg Service Time - Groups,Avg Queue Time - Groups,Avg Queue Time Normal - Groups,Avg Queue Time Prio - Groups,People Served,Normal People Served,Priority People Served,Avg Service Time - People,Avg Queue Time - People,Avg Queue Time Normal - People,Avg Queue Time Prio - People
Restaurant_1,37.94714529958588,215,289,0,37.94714529958588,6.851531578890869,6.851531578890869,0.0,886,1307,0,50.73837809991598,6.650815879760815,6.650815879760815,0.0
Skull_Island,6.046736134568819,251,59,192,6.052566062747511,52.112484103818204,208.26713082035855,4.127462456547971,1200,336,861,6.047284197272087,61.16984865092522,207.23562945854766,4.16856833575549
Entrance,0.503504256072598,1215,1218,0,0.503504256072598,0.0,0.0,0.0,6047,6062,0,0.6509223983830648,0.0,0.0,0.0
Storm_Force,4.04777602386402,360,161,201,4.04327767563076,78.11346011864033,172.15244092359893,2.788704349494264,1726,824,899,4.048478967918001,83.77358121411257,172.15688213342082,2.7637481134341253
Harry_Potter_Journey,4.888501533618433,941,744,199,4.890204916970053,21.25039251427837,26.048062614557317,3.3133746519289993,4647,3701,949,4.88885543305135,21.65347953401282,26.33497007507711,3.3961597316114327
Jurassic_World_VelociCoaster,3.0077371163679,769,457,313,2.997904296805688,56.161552365235025,93.24044350614543,2.0240020412861766,3751,2345,1402,3.0094042960035114,59.13002117803793,93.27425818506666,2.0200099216311003
Incredible_Hulk_Coaster,3.0889672232931447,250,12,240,3.0567094512659643,14.818923577444963,238.11535215274088,3.6541021486801806,1138,79,1063,3.07946441640239,20.127929128678907,238.941803454439,3.8661266152875107
Restaurant_4,17.01376290172799,296,336,0,17.01376290172799,0.0,0.0,0.0,1255,1494,0,22.677399822890703,0.0,0.0,0.0
Doctor_Doom_Fearfall,2.035649684507241,385,77,309,2.034208441336622,41.365350555700566,201.04367191672523,1.5749597958335764,1762,340,1419,2.033564958658541,40.30228281704855,201.66569535944467,1.6387449281023416
Restaurant_3,25.620227825375384,291,347,0,25.620227825375384,0.0,0.0,0.0,1260,1609,0,33.529192031201234,0.0,0.0,0.0
Flight_Hippogriff,2.0052931624101302,160,0,160,2.006542609929011,8.769633864112715,0.0,8.769633864112715,716,0,710,2.0072969589143255,8.893506184569214,0.0,8.893506184569214
Restaurant_2,31.270109120646094,212,289,0,31.270109120646094,0.9999675812500983,0.9999675812500983,0.0,898,1382,0,43.89527625805248,1.1652975029537804,1.1652975029537804,0.0
