Center name,Avg Service Time - Services,Groups Served,Normal Group Served,Priority Group Served,Avg Service Time - Groups,Avg Queue Time - Groups,Avg Queue Time Normal - Groups,Avg Queue Time Prio - Groups,People Served,Normal People Served,Priority People Served,Avg Service Time - People,Avg Queue Time - People,Avg Queue Time Normal - People,Avg Queue Time Prio - People
Restaurant_1,0.29384523954909647,33,33,0,0.29384523954909647,0.0,0.0,0.0,191,191,0,0.35124279082230475,0.0,0.0,0.0
Skull_Island,5.950347863877321,334,167,180,5.9723120861792065,7.319727373883683,10.908053423557917,3.9905582055748217,1532,728,867,5.964481643862673,7.16661898785795,10.937585015468663,4.000225368364744
Entrance,9.716431317564343,524,554,0,9.716431317564343,58.06325091320359,58.06325091320359,0.0,2563,2764,0,12.496035204515602,58.66644235431224,58.66644235431224,0.0
Storm_Force,4.013736064012463,430,251,190,4.021371203627604,4.296886519302989,5.4844527053379455,2.728049084067335,2064,1148,976,4.025424434954468,4.357211864516964,5.803701293394895,2.6558083149761202
Harry_Potter_Journey,5.04624019388674,83,12,73,5.025330971694196,15.04748916694681,20.70128740870709,14.118097675150599,370,38,345,5.058474281908035,16.292442908958787,28.658651824216115,14.93036772408986
Jurassic_World_VelociCoaster,2.958065657403082,651,419,247,2.971210484239698,2.321271865847515,2.453348012136922,2.0972236662715606,3030,1895,1207,2.9694547013518653,2.326596164928179,2.4723937258472546,2.097692786351833
Incredible_Hulk_Coaster,2.912909844271621,318,93,230,2.9032507486961143,5.394308269210446,13.699243025093041,2.036225954875312,1574,434,1169,2.908254246662515,5.169455249829762,13.43499436042549,2.100811987213387
Restaurant_4,1.0182356674752893,42,42,0,1.0182356674752893,0.0,0.0,0.0,206,206,0,1.2106882331526099,0.0,0.0,0.0
Doctor_Doom_Fearfall,2.0116549446680807,461,195,273,2.0100704057682997,4.281415854752389,8.277023053322035,1.4274107129169311,2279,928,1383,2.0195960838690423,4.402522789425997,8.80839412088955,1.4461608258698273
Restaurant_3,0.4711570930707476,34,34,0,0.4711570930707476,0.0,0.0,0.0,156,156,0,0.639786586754246,0.0,0.0,0.0
Flight_Hippogriff,2.022127621911129,201,27,176,1.989391648848535,3.3989638789457075,8.979013549316246,2.5429335317865935,957,133,834,2.002956246042563,3.751802325737885,9.954721140136911,2.7626078385495543
Restaurant_2,0.343085608346985,45,45,0,0.343085608346985,0.0,0.0,0.0,226,226,0,0.4307468662424225,0.0,0.0,0.0
