Center name,Avg Service Time,People Served,Normal People Served,Priority People Served,Avg Queue Time - Person,Avg Queue Time Normal - Person,Avg Queue Time Prio - Person
Restaurant_1,15.120261311875499,2349,2349,0,757.3905253752083,757.3905253752083,0.0
Skull_Island,5.991364768318923,10279,3799,6480,152.56078961615134,400.03289941676286,7.476446231502604
Entrance,0.5024801118550031,26797,26797,0,51.70383877186303,51.70383877186303,0.0
Storm_Force,4.011440665312321,12144,3965,8179,78.65262377323995,233.6141560446704,3.5306680994140702
Harry_Potter_Journey,4.983816116700094,4785,2945,1840,717.3389626603687,1096.781994224411,110.02389311900698
Jurassic_World_VelociCoaster,2.9908810363327802,18646,6624,12022,55.00948904943561,151.13857446435046,2.043338509725486
Incredible_Hulk_Coaster,3.0022446324073226,10246,3772,6474,184.81666719636044,487.88878057504076,8.235262861423498
Restaurant_4,14.976037953317919,2304,2304,0,730.1380191550246,730.1380191550246,0.0
Doctor_Doom_Fearfall,2.011181013186754,13210,4040,9170,112.04229345609593,358.43794247732075,3.4884851632116494
Restaurant_3,14.828670084995947,2412,2412,0,771.158735780929,771.158735780929,0.0
Flight_Hippogriff,1.992489746748089,7169,3186,3983,298.56347541724307,647.3673026862162,19.55544285913384
Restaurant_2,15.153760692375858,2310,2310,0,739.0725369695907,739.0725369695907,0.0
