Center Name,Metric Name,Mean Value,Autocorrelation,Interval,Lower Bound,Theory Value,Upper Bound,Theory Value Is Inside
Attraction_1,N_Q,1.115162839929851,0.0397013083936664,0.2166995105489034,0.8984633293809476,1.0199395023641427,1.3318623504787543,true
Attraction_1,QueueTime,0.13516801362289538,0.0327930548036147,0.02472049479822127,0.1104475188246741,0.12753798707661676,0.15988850842111665,true
Attraction_1,Rho,0.798958965456302,0.15948427516860697,0.008858291285679666,0.7901006741706222,0.7997142857142849,0.8078172567419817,true
Attraction_1,ServiceTime,2.000995879114209,-0.1075006724511668,0.008519189200460119,1.992476689913749,2.0,2.009515068314669,true
Attraction_2,N_Q,0.9645166058600572,0.0905912159677867,0.14343954327883426,0.8210770625812229,1.0199395023641427,1.1079561491388914,true
Attraction_2,QueueTime,0.11759395741123237,0.08739739988255717,0.016526733426208667,0.1010672239850237,0.12753798707661676,0.13412069083744105,true
Attraction_2,Rho,0.7981460590506605,0.13503699993295984,0.008395935201055211,0.7897501238496053,0.7997142857142849,0.8065419942517157,true
Attraction_2,ServiceTime,1.9968676585406397,0.09472595501217371,0.008459348221052338,1.9884083103195873,2.0,2.005327006761692,true
Attraction_3,N_Q,1.0197906204538558,0.10700642808978121,0.14929082898291535,0.8704997914709405,1.0199395023641427,1.1690814494367712,true
Attraction_3,QueueTime,0.12452459556046387,0.10610232301063953,0.017211127945276516,0.10731346761518736,0.12753798707661676,0.14173572350574037,true
Attraction_3,Rho,0.8002415772784481,0.1033695169784813,0.008358982365354666,0.7918825949130934,0.7997142857142849,0.8086005596438028,true
Attraction_3,ServiceTime,2.0021774000807606,-0.12207364615815046,0.0078484004683928,1.9943289996123679,2.0,2.0100258005491534,true
Attraction_4,N_Q,1.0612256462760827,0.086184536428454,0.17001351134947287,0.8912121349266099,1.0199395023641427,1.2312391576255557,true
Attraction_4,QueueTime,0.12898605056814022,0.07556129555853056,0.01947803112176824,0.10950801944637198,0.12753798707661676,0.14846408168990846,true
Attraction_4,Rho,0.8002379362207,0.15853684557612382,0.008470368670049716,0.7917675675506504,0.7997142857142849,0.8087083048907497,true
Attraction_4,ServiceTime,2.0009703306943067,0.01591109279532648,0.008656602152739817,1.9923137285415669,2.0,2.0096269328470466,true
Attraction_5,N_Q,1.0186006442557818,0.159433996922088,0.1528286547299378,0.865771989525844,1.0199395023641427,1.1714292989857196,true
Attraction_5,QueueTime,0.12370845668747966,0.15388392326887299,0.017510821871438265,0.1061976348160414,0.12753798707661676,0.14121927855891792,true
Attraction_5,Rho,0.8002248686679743,0.16870087798926084,0.008660133998345773,0.7915647346696285,0.7997142857142849,0.80888500266632,true
Attraction_5,ServiceTime,1.998735322534694,0.00632541155335816,0.007745635422014993,1.990989687112679,2.0,2.006480957956709,true
Attraction_6,N_Q,0.9821786433107239,0.12101288981958157,0.15580218812199367,0.8263764551887303,1.0199395023641427,1.1379808314327176,true
Attraction_6,QueueTime,0.1198150920793079,0.11410753884317726,0.017659302934178032,0.10215578914512988,0.12753798707661676,0.13747439501348593,true
Attraction_6,Rho,0.7970620649207241,0.17621189952608038,0.008524210719151638,0.7885378542015724,0.7997142857142849,0.8055862756398757,true
Attraction_6,ServiceTime,1.998015261692272,-0.04439664954542537,0.008631654842498813,1.9893836068497732,2.0,2.0066469165347707,true
Attraction_7,N_Q,1.0465193357688074,0.10656179731690583,0.1573522888725806,0.8891670468962268,1.0199395023641427,1.203871624641388,true
Attraction_7,QueueTime,0.12725242852050594,0.09591649494404088,0.017981354157119354,0.1092710743633866,0.12753798707661676,0.1452337826776253,true
Attraction_7,Rho,0.8009287401687994,0.14867243064315058,0.00831244894350169,0.7926162912252978,0.7997142857142849,0.8092411891123011,true
Attraction_7,ServiceTime,2.0006551976449,0.0881158374815561,0.008668467364779995,1.9919867302801202,2.0,2.00932366500968,true
Entrance,N_Q,0.7304865835048578,0.041535138595278756,0.08739879667647221,0.6430877868283856,0.7308818403571063,0.8178853801813301,true
Entrance,QueueTime,0.23363891922589775,0.04137934809609133,0.02751483330507413,0.20612408592082362,0.23501023805694737,0.2611537525309719,true
Entrance,Rho,0.7767099951002951,0.05490379420161025,0.004649617574738699,0.7720603775255565,0.7775,0.7813596126750338,true
Entrance,ServiceTime,4.997744762832541,0.04268605338933453,0.020864067400886054,4.976880695431655,5.0,5.018608830233427,true
Restaurant_1,N_Q,0.052463507129244934,0.04047852860325367,0.00850677253551968,0.043956734593725254,0.05552530416530543,0.060970279664764614,true
Restaurant_1,QueueTime,0.06718340623248432,0.03804978544435413,0.010877739516219521,0.0563056667162648,0.07141518220618066,0.07806114574870385,true
Restaurant_1,Rho,0.6210466811845897,0.08074310061819179,0.003954037523225114,0.6170926436613646,0.6219999999999996,0.6250007187078148,true
Restaurant_1,ServiceTime,15.986669439877623,-2.630925595188635E-4,0.06261878359962134,15.924050656278002,16.0,16.049288223477244,true
Restaurant_2,N_Q,0.054954081108395024,-0.0426353970692646,0.008984563940794122,0.0459695171676009,0.05552530416530543,0.06393864504918914,true
Restaurant_2,QueueTime,0.06988555232328639,-0.04400126057915777,0.01118695020991803,0.05869860211336836,0.07141518220618066,0.08107250253320442,true
Restaurant_2,Rho,0.6221461679897881,0.03562864211373801,0.0041770926391201425,0.6179690753506679,0.6219999999999996,0.6263232606289082,true
Restaurant_2,ServiceTime,15.994567950466886,-0.04905850189960111,0.06448286980000985,15.930085080666876,16.0,16.059050820266897,true
Restaurant_3,N_Q,0.05784437856432779,-0.050612387071114186,0.009505940992024614,0.048338437572303175,0.05552530416530543,0.0673503195563524,true
