Center name,Avg Queue Time,Avg Queue Time - Normal,Avg Queue Time - Prio,Normal Jobs Served,Priority Jobs Served,Avg Single Service Time,Avg System Time
Restaurant_1,0.0,0.0,0.0,0,0,0.0,0.0
Skull_Island,7.464698034488806E-5,7.464698034488806E-5,0.0,62407,0,5.999085843010796,5.999160489991141
Entrance,0.0,0.0,0.0,4246,0,0.10101750473579964,0.10101750473579964
Storm_Force,0.0,0.0,0.0,62796,0,3.9995155276401935,3.9995155276401935
Harry_Potter_Journey,0.0,0.0,0.0,62992,0,5.001670663025796,5.001670663025796
Jurassic_World_VelociCoaster,0.0,0.0,0.0,62604,0,2.99764974584606,2.99764974584606
Incredible_Hulk_Coaster,0.006499277149232119,0.006499277149232119,0.0,62825,0,2.9989684409257564,3.0054677180749887
Restaurant_4,0.0,0.0,0.0,0,0,0.0,0.0
Doctor_Doom_Fearfall,1.713216847678941E-5,1.713216847678941E-5,0.0,62450,0,2.0010682388519174,2.001085371020394
Restaurant_3,0.0,0.0,0.0,0,0,0.0,0.0
Flight_Hippogriff,264.48215244475745,264.48215244475745,0.0,59022,0,2.0010154139885166,266.48316785874596
Restaurant_2,0.0,0.0,0.0,0,0,0.0,0.0
