Center name,Avg Queue Time,Avg Queue Time - Normal,Avg Queue Time - Prio,Normal Jobs Served,Priority Jobs Served,Avg Single Service Time,Avg System Time
Restaurant_1,0.0,0.0,0.0,0,0,0.0,0.0
Skull_Island,6.847177015278343E-5,6.847177015278343E-5,0.0,83750,0,5.999808372448941,5.999876844219093
Entrance,0.0,0.0,0.0,5705,0,0.09980624057975652,0.09980624057975652
Storm_Force,0.0,0.0,0.0,84034,0,4.0001040997205735,4.0001040997205735
Harry_Potter_Journey,0.0,0.0,0.0,84248,0,5.001133291094341,5.001133291094341
Jurassic_World_VelociCoaster,0.0,0.0,0.0,84230,0,2.997835576419083,2.997835576419083
Incredible_Hulk_Coaster,0.00666575643836484,0.00666575643836484,0.0,84398,0,2.9993629364939154,3.00602869293228
Restaurant_4,0.0,0.0,0.0,0,0,0.0,0.0
Doctor_Doom_Fearfall,1.2774209556151855E-5,1.2774209556151855E-5,0.0,83755,0,2.0013602437733216,2.001373017982878
Restaurant_3,0.0,0.0,0.0,0,0,0.0,0.0
Flight_Hippogriff,359.82683026309047,359.82683026309047,0.0,79186,0,2.0007035934320987,361.82753385652256
Restaurant_2,0.0,0.0,0.0,0,0,0.0,0.0
