Center name,Avg Queue Time,Avg Queue Time - Normal,Avg Queue Time - Prio,Normal Jobs Served,Priority Jobs Served,Avg Single Service Time,Avg System Time
Restaurant_1,0.0,0.0,0.0,0,0,0.0,0.0
Skull_Island,1.0006971424009234E-4,1.0006971424009234E-4,0.0,41089,0,6.000759650738202,6.000859720452443
Entrance,0.0,0.0,0.0,2836,0,0.10030670796206322,0.10030670796206322
Storm_Force,0.0,0.0,0.0,41014,0,3.9985911881182785,3.9985911881182785
Harry_Potter_Journey,0.0,0.0,0.0,41128,0,5.002609653402005,5.002609653402005
Jurassic_World_VelociCoaster,0.0,0.0,0.0,41125,0,2.9983018874441956,2.9983018874441956
Incredible_Hulk_Coaster,0.005109224004354572,0.005109224004354572,0.0,41192,0,2.998693469362439,3.0038026933667936
Restaurant_4,0.0,0.0,0.0,0,0,0.0,0.0
Doctor_Doom_Fearfall,2.6107316106866563E-5,2.6107316106866563E-5,0.0,40981,0,2.0014654144306636,2.0014915217467704
Restaurant_3,0.0,0.0,0.0,0,0,0.0,0.0
Flight_Hippogriff,169.32687816920725,169.32687816920725,0.0,38883,0,2.0005477033523706,171.32742587255962
Restaurant_2,0.0,0.0,0.0,0,0,0.0,0.0
