Center name,Avg Queue Time,Avg Queue Time - Normal,Avg Queue Time - Prio,Normal Jobs Served,Priority Jobs Served,Avg Single Service Time,Avg System Time
Restaurant_1,0.0,0.0,0.0,0,0,0.0,0.0
Skull_Island,6.079330368814787E-5,6.079330368814787E-5,0.0,94328,0,6.000304083016644,6.000364876320332
Entrance,0.0,0.0,0.0,6420,0,0.09939353789488387,0.09939353789488387
Storm_Force,0.0,0.0,0.0,94778,0,4.000615526263632,4.000615526263632
Harry_Potter_Journey,0.0,0.0,0.0,94764,0,5.001182039834586,5.001182039834586
Jurassic_World_VelociCoaster,0.0,0.0,0.0,94887,0,2.9980587462306354,2.9980587462306354
Incredible_Hulk_Coaster,0.006424404398889559,0.006424404398889559,0.0,95002,0,2.999708473878012,3.0061328782769015
Restaurant_4,0.0,0.0,0.0,0,0,0.0,0.0
Doctor_Doom_Fearfall,1.1336490049222784E-5,1.1336490049222784E-5,0.0,94377,0,2.0011093109968354,2.001120647486885
Restaurant_3,0.0,0.0,0.0,0,0,0.0,0.0
Flight_Hippogriff,407.6874821884723,407.6874821884723,0.0,89237,0,2.0012639658118294,409.6887461542841
Restaurant_2,0.0,0.0,0.0,0,0,0.0,0.0
