Center name,Avg Queue Time,Avg Queue Time - Normal,Avg Queue Time - Prio,Normal Jobs Served,Priority Jobs Served,Avg Single Service Time,Avg System Time
Restaurant_1,0.0,0.0,0.0,0,0,0.0,0.0
Skull_Island,5.440557432232112E-5,5.440557432232112E-5,0.0,105403,0,6.001144866364966,6.001199271939288
Entrance,0.0,0.0,0.0,7107,0,0.09993918785566375,0.09993918785566375
Storm_Force,0.0,0.0,0.0,105460,0,4.000634896179286,4.000634896179286
Harry_Potter_Journey,0.0,0.0,0.0,105648,0,5.001431996436526,5.001431996436526
Jurassic_World_VelociCoaster,0.0,0.0,0.0,105763,0,2.998207175123447,2.998207175123447
Incredible_Hulk_Coaster,0.006197268167923674,0.006197268167923674,0.0,105874,0,2.9998478866485443,3.006045154816468
Restaurant_4,0.0,0.0,0.0,0,0,0.0,0.0
Doctor_Doom_Fearfall,1.1059938813890067E-5,1.1059938813890067E-5,0.0,105531,0,2.000947716733837,2.000958776672651
Restaurant_3,0.0,0.0,0.0,0,0,0.0,0.0
Flight_Hippogriff,455.6873604108734,455.6873604108734,0.0,99307,0,2.0013565862966356,457.68871699717005
Restaurant_2,0.0,0.0,0.0,0,0,0.0,0.0
