Center name,Avg Queue Time,Avg Queue Time - Normal,Avg Queue Time - Prio,Normal Jobs Served,Priority Jobs Served,Avg Single Service Time,Avg System Time
Restaurant_1,0.0,0.0,0.0,0,0,0.0,0.0
Skull_Island,5.812590860160386E-6,5.812590860160386E-6,0.0,30449,0,6.000323354581337,6.000329167172197
Entrance,0.0,0.0,0.0,2100,0,0.10110930962302253,0.10110930962302253
Storm_Force,0.0,0.0,0.0,30408,0,3.9978654851842896,3.9978654851842896
Harry_Potter_Journey,0.0,0.0,0.0,30474,0,5.002722915592957,5.002722915592957
Jurassic_World_VelociCoaster,0.0,0.0,0.0,30492,0,2.999412580102861,2.999412580102861
Incredible_Hulk_Coaster,0.006071506622815225,0.006071506622815225,0.0,30670,0,2.9977041425077138,3.003775649130529
Restaurant_4,0.0,0.0,0.0,0,0,0.0,0.0
Doctor_Doom_Fearfall,2.3219013856341604E-5,2.3219013856341604E-5,0.0,30575,0,2.0018112408395647,2.0018344598534212
Restaurant_3,0.0,0.0,0.0,0,0,0.0,0.0
Flight_Hippogriff,121.80559007735701,121.80559007735701,0.0,28805,0,2.0006777890377165,123.80626786639473
Restaurant_2,0.0,0.0,0.0,0,0,0.0,0.0
